Models,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,국가명,연도
Santa Fe PHEV (TM PHEV),RV,200.0,127.0,161.0,272.0,355.0,498.0,330.0,281.0,483.0,365.0,270.0,244.0,EU,2023
Light CV,Light CV,221.0,290.0,366.0,216.0,217.0,611.0,307.0,268.0,525.0,289.0,357.0,414.0,EU,2023
i10 (AC3),PC,4120.0,4148.0,5293.0,4120.0,5490.0,6588.0,5534.0,3781.0,6136.0,5257.0,4988.0,3511.0,EU,2024
i20 (GB),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
i20 (BC3),PC,3843.0,3372.0,5506.0,5496.0,5270.0,5266.0,4106.0,3541.0,4922.0,4242.0,3600.0,3395.0,EU,2024
i20 N (BC3 N),PC,641.0,521.0,947.0,562.0,456.0,340.0,242.0,167.0,110.0,72.0,48.0,53.0,EU,2024
Elantra,PC,51.0,34.0,74.0,118.0,98.0,100.0,246.0,176.0,51.0,64.0,31.0,34.0,EU,2024
IONIQ (HEV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
IONIQ (PHEV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
IONIQ (EV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
i30 (PD),PC,2695.0,2910.0,3392.0,3294.0,3376.0,2799.0,3166.0,2323.0,2920.0,3326.0,3151.0,2616.0,EU,2024
i30 (PD N),PC,493.0,369.0,878.0,630.0,455.0,623.0,106.0,69.0,58.0,32.0,15.0,38.0,EU,2024
i40 (VF),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
Ioniq6 EV (CE_EV),PC,683.0,452.0,986.0,591.0,453.0,541.0,370.0,348.0,738.0,398.0,427.0,644.0,EU,2024
G80 (DH),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
ix20 (JC),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
Bayon (BC3 CUV),RV,2596.0,2431.0,3072.0,2321.0,2625.0,2689.0,1806.0,1490.0,2878.0,2002.0,2501.0,1830.0,EU,2024
Casper (AX EV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,EU,2024
Kona (OS),RV,5.0,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,EU,2024
Kona (EV),RV,57.0,22.0,27.0,8.0,2.0,5.0,3.0,0.0,11.0,0.0,1.0,0.0,EU,2024
Kona (Ose- EV),RV,201.0,666.0,154.0,42.0,40.0,38.0,16.0,4.0,5.0,1.0,3.0,4.0,EU,2024
Kona (HEV),RV,9.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,EU,2024
Kona N,RV,21.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,EU,2024
Kona (SX2),RV,1454.0,1503.0,2401.0,1588.0,1722.0,1652.0,1209.0,768.0,1032.0,1124.0,1202.0,839.0,EU,2024
Kona (SX2 HEV),RV,1779.0,1540.0,2784.0,3449.0,3291.0,3974.0,3240.0,2324.0,3448.0,2784.0,2617.0,2256.0,EU,2024
Kona (SXe_EV),RV,1330.0,1817.0,3172.0,2341.0,2347.0,2672.0,2396.0,1904.0,3509.0,2622.0,2021.0,2345.0,EU,2024
Tucson (TLe),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
Tucson (NX4e),RV,3949.0,4372.0,6706.0,4153.0,5081.0,5239.0,4218.0,3048.0,4665.0,4148.0,4811.0,3839.0,EU,2024
Tucson (NX4e HEV),RV,3725.0,3287.0,6124.0,4289.0,4181.0,5065.0,5024.0,2960.0,6658.0,4637.0,4885.0,4374.0,EU,2024
Tucson (NX4e PHEV),RV,1195.0,842.0,1987.0,1227.0,1530.0,1302.0,1164.0,961.0,1599.0,1315.0,1571.0,1252.0,EU,2024
NEXO (FE),RV,0.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,EU,2024
IONIQ 5 (NE),RV,938.0,732.0,1415.0,1411.0,1838.0,1823.0,1395.0,817.0,1232.0,814.0,872.0,1033.0,EU,2024
IONIQ 5 (NE N),RV,5.0,303.0,253.0,191.0,151.0,141.0,187.0,173.0,240.0,187.0,265.0,176.0,EU,2024
Santa-Fe (DM),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2024
Santa-Fe (TM),RV,72.0,42.0,47.0,36.0,13.0,13.0,7.0,5.0,2.0,0.0,0.0,0.0,EU,2024
Santa Fe HEV (TM HEV),RV,170.0,87.0,155.0,60.0,49.0,34.0,13.0,0.0,8.0,9.0,7.0,7.0,EU,2024
Santa Fe PHEV (TM PHEV),RV,203.0,146.0,123.0,66.0,60.0,55.0,61.0,55.0,17.0,31.0,41.0,17.0,EU,2024
Santa Fe HEV (MX5 HEV),RV,0.0,0.0,0.0,0.0,0.0,115.0,304.0,419.0,724.0,496.0,582.0,366.0,EU,2024
Santa Fe PHEV (MX5 PHEV),RV,0.0,0.0,0.0,0.0,1.0,323.0,288.0,269.0,393.0,357.0,309.0,382.0,EU,2024
Light CV,Light CV,296.0,551.0,447.0,386.0,383.0,274.0,165.0,139.0,67.0,175.0,319.0,72.0,EU,2024
i10 (AC3),PC,4224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i20 (GB),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i20 (BC3),PC,4167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i20 N (BC3 N),PC,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Elantra,PC,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
IONIQ (HEV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
IONIQ (PHEV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
IONIQ (EV),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Sonata (DN8),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i30 (PD),PC,2276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i30 (PD N),PC,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
i40 (VF),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Ioniq6 EV (CE_EV),PC,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
G70,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
G80 (DH),PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
ix20 (JC),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Bayon (BC3 CUV),RV,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Casper (AX EV),RV,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Venue (QX),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (OS),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (EV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (Ose- EV),RV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (HEV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona N,RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (SX2),RV,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (SX2 HEV),RV,2593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Kona (SXe_EV),RV,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Tucson (TLe),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Tucson (NX4e),RV,2930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Tucson (NX4e HEV),RV,4042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Tucson (NX4e PHEV),RV,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
NEXO (FE),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
IONIQ 5 (NE),RV,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
IONIQ 5 (NE N),RV,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa-Fe (DM),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa-Fe (TM),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa Fe HEV (TM HEV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa Fe PHEV (TM PHEV),RV,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
SantaFe (MX5),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa Fe HEV (MX5 HEV),RV,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Santa Fe PHEV (MX5 PHEV),RV,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Palisade (LX2),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
GV60 (JW EV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
GV70 (JK),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
GV70 EV (JK EV),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
GV80 (JX),RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Light CV,Light CV,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EU,2025
Accent,PC,16.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,US,2023
Veloster,PC,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
Elantra,PC,8655.0,10371.0,13447.0,13236.0,15605.0,13424.0,11898.0,11262.0,9405.0,9456.0,8813.0,8577.0,US,2023
IONIQ,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
Sonata,PC,4873.0,4307.0,5310.0,4689.0,4321.0,3834.0,3209.0,3397.0,3401.0,2460.0,2321.0,3222.0,US,2023
G70,PC,804.0,719.0,1057.0,1139.0,1156.0,1353.0,1310.0,1394.0,1751.0,982.0,684.0,897.0,US,2023
G80 (RG3),PC,226.0,172.0,296.0,383.0,370.0,768.0,400.0,186.0,300.0,369.0,322.0,378.0,US,2023
G80 (RG3 EV),PC,33.0,32.0,315.0,94.0,120.0,119.0,227.0,107.0,137.0,103.0,16.0,26.0,US,2023
G90,PC,105.0,111.0,140.0,120.0,113.0,114.0,108.0,119.0,92.0,68.0,125.0,130.0,US,2023
Venue,RV,2441.0,2537.0,3625.0,2648.0,2413.0,2695.0,2581.0,2197.0,1732.0,1757.0,1716.0,1667.0,US,2023
Kona,RV,5826.0,6080.0,7314.0,6831.0,5613.0,6261.0,6123.0,5777.0,6693.0,7927.0,6991.0,7680.0,US,2023
Tucson,RV,12028.0,14031.0,20111.0,18676.0,18038.0,17707.0,17534.0,16242.0,18813.0,15638.0,21382.0,19424.0,US,2023
Santa Cruz(Tucson O/B),RV,2614.0,2868.0,3825.0,3590.0,3526.0,3627.0,2903.0,3079.0,3051.0,2555.0,2396.0,2641.0,US,2023
Nexo,RV,16.0,28.0,21.0,16.0,16.0,8.0,34.0,18.0,16.0,23.0,20.0,25.0,US,2023
IONIQ 5,RV,1548.0,2074.0,2114.0,2323.0,2446.0,3136.0,4135.0,3572.0,3958.0,2979.0,2372.0,3261.0,US,2023
IONIQ 6,RV,0.0,0.0,222.0,890.0,971.0,1162.0,1745.0,1663.0,1665.0,1239.0,1386.0,2056.0,US,2023
Santa Fe,RV,7297.0,7993.0,13236.0,10953.0,10039.0,11624.0,10612.0,11732.0,12676.0,9700.0,13497.0,12215.0,US,2023
Palisade,RV,6684.0,6742.0,6176.0,6959.0,7013.0,5873.0,5752.0,6107.0,7551.0,7071.0,9185.0,14396.0,US,2023
GV60,RV,129.0,171.0,212.0,267.0,276.0,265.0,261.0,258.0,379.0,353.0,434.0,395.0,US,2023
GV70,RV,1401.0,1762.0,2100.0,2219.0,2047.0,1745.0,2416.0,2293.0,1828.0,1885.0,2028.0,2590.0,US,2023
GV70 EV,RV,0.0,0.0,45.0,161.0,187.0,133.0,109.0,158.0,166.0,174.0,294.0,247.0,US,2023
GV80,RV,1207.0,1241.0,1491.0,1474.0,1336.0,1506.0,1499.0,1938.0,1991.0,1790.0,2084.0,2140.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2023
Accent,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2024
Veloster,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2024
Elantra,PC,6900.0,8432.0,11528.0,10102.0,13311.0,12016.0,13764.0,14379.0,11186.0,12151.0,11344.0,11585.0,US,2024
IONIQ,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2024
Sonata,PC,3121.0,4379.0,5664.0,5348.0,6700.0,5935.0,5755.0,5953.0,5575.0,6300.0,6971.0,7642.0,US,2024
G70,PC,986.0,686.0,1020.0,1035.0,931.0,838.0,850.0,1055.0,1137.0,1016.0,1548.0,1156.0,US,2024
G80 (RG3),PC,229.0,320.0,419.0,321.0,388.0,313.0,250.0,311.0,257.0,268.0,362.0,320.0,US,2024
G80 (RG3 EV),PC,23.0,26.0,55.0,9.0,11.0,16.0,24.0,79.0,52.0,44.0,29.0,29.0,US,2024
G90,PC,202.0,100.0,140.0,75.0,95.0,85.0,112.0,118.0,90.0,178.0,150.0,158.0,US,2024
Venue,RV,1435.0,1959.0,2538.0,2401.0,2494.0,2544.0,2400.0,2470.0,1602.0,1444.0,1521.0,1799.0,US,2024
Kona,RV,6577.0,7024.0,9453.0,8273.0,8308.0,6904.0,6713.0,6112.0,5144.0,5685.0,6133.0,5846.0,US,2024
Tucson,RV,11116.0,15999.0,18394.0,15685.0,17371.0,13581.0,16135.0,20864.0,16802.0,19829.0,20178.0,20172.0,US,2024
Santa Cruz(Tucson O/B),RV,2487.0,2568.0,3362.0,2956.0,3603.0,2969.0,2615.0,2486.0,2125.0,2427.0,2393.0,2042.0,US,2024
Nexo,RV,23.0,11.0,17.0,13.0,6.0,7.0,2.0,8.0,2.0,4.0,0.0,1.0,US,2024
IONIQ 5,RV,1465.0,1993.0,3361.0,3702.0,4434.0,3746.0,3413.0,4838.0,3326.0,4498.0,4980.0,4595.0,US,2024
IONIQ 5 Robo Taxi,RV,0.0,3.0,0.0,0.0,15.0,9.0,3.0,0.0,10.0,0.0,9.0,0.0,US,2024
IONIQ 6,RV,760.0,902.0,1984.0,1253.0,1099.0,914.0,778.0,808.0,599.0,837.0,1121.0,1209.0,US,2024
Santa Fe,RV,6021.0,9239.0,10834.0,9728.0,10997.0,9803.0,8989.0,10152.0,7918.0,9644.0,12376.0,13309.0,US,2024
Palisade,RV,7638.0,7832.0,9785.0,9142.0,10147.0,9203.0,8635.0,11208.0,8202.0,8983.0,8982.0,10298.0,US,2024
GV60,RV,166.0,147.0,160.0,254.0,262.0,237.0,296.0,296.0,180.0,203.0,285.0,380.0,US,2024
GV70,RV,1471.0,1760.0,1684.0,1496.0,1894.0,2001.0,2483.0,3005.0,2343.0,2594.0,3086.0,3127.0,US,2024
GV70 EV,RV,114.0,146.0,155.0,379.0,732.0,349.0,198.0,178.0,92.0,154.0,149.0,330.0,US,2024
GV80,RV,1078.0,1420.0,2270.0,1939.0,1604.0,1780.0,1981.0,2344.0,2386.0,2446.0,2394.0,2659.0,US,2024
Accent,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Veloster,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Elantra,PC,8866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
IONIQ,PC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Sonata,PC,4757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
G70,PC,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
G80 (RG3),PC,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
G80 (RG3 EV),PC,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
G90,PC,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Venue,RV,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Kona,RV,4365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Tucson,RV,15025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Santa Cruz(Tucson O/B),RV,1786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
Nexo,RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
IONIQ 5,RV,2249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
IONIQ 5 Robo Taxi,RV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
IONIQ 6,RV,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,2025
