Model,Plant,Month,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,Korea
K8,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,536.0,0.0,0.0,0.0
Stonic,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
Seltos,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0
Niro,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV6,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,150.0,0.0,358.0,0.0,230.0,0.0,0.0,0.0
Sorento,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,174.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0
Carnival,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0.0,0.0
Bongo,CKD (excl. Russia),23-03,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,558.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-03,0.0,0.0,0.0,0.0,59.0,9.0,0.0,2.0,6.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-03,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-03,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,Special Vehicle,23-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0
Morning,Korean Plant,23-04,0.0,0.0,0.0,6529.0,399.0,1832.0,889.0,1005.0,734.0,0.0,0.0,0.0
Rio,Korean Plant,23-04,0.0,0.0,0.0,2966.0,155.0,113.0,49.0,971.0,499.0,0.0,0.0,0.0
K3,Korean Plant,23-04,0.0,45.0,62.0,0.0,252.0,16.0,392.0,1.0,548.0,0.0,0.0,0.0
K5,Korean Plant,23-04,0.0,0.0,0.0,0.0,413.0,4.0,807.0,2.0,0.0,0.0,0.0,0.0
Stinger,Korean Plant,23-04,963.0,72.0,2.0,97.0,151.0,0.0,11.0,0.0,243.0,0.0,0.0,0.0
K8,Korean Plant,23-04,0.0,0.0,0.0,0.0,20.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0
K9,Korean Plant,23-04,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-04,0.0,0.0,0.0,5884.0,653.0,373.0,143.0,150.0,892.0,0.0,0.0,0.0
Seltos,Korean Plant,23-04,5428.0,2170.0,0.0,0.0,123.0,142.0,968.0,0.0,1197.0,0.0,0.0,0.0
Soul,Korean Plant,23-04,6590.0,149.0,183.0,0.0,53.0,62.0,3.0,0.0,2.0,0.0,0.0,0.0
Soul,Korean Plant,23-04,0.0,70.0,0.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Niro,Korean Plant,23-04,2175.0,192.0,122.0,2999.0,15.0,108.0,113.0,40.0,228.0,0.0,0.0,0.0
Niro,Korean Plant,23-04,824.0,354.0,0.0,2906.0,14.0,6.0,27.0,9.0,101.0,0.0,0.0,0.0
Niro,Korean Plant,23-04,0.0,0.0,0.0,0.0,0.0,0.0,516.0,8.0,55.0,0.0,0.0,0.0
Niro,Korean Plant,23-04,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,16.0,0.0,0.0,0.0
EV6,Korean Plant,23-04,1241.0,139.0,0.0,2659.0,25.0,10.0,19.0,22.0,357.0,79.0,0.0,0.0
EV9,Korean Plant,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-04,6737.0,1438.0,666.0,0.0,1680.0,577.0,0.0,0.0,1258.0,0.0,0.0,0.0
Sorento,Korean Plant,23-04,2418.0,192.0,0.0,1112.0,694.0,164.0,791.0,111.0,1034.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-04,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-04,3029.0,540.0,0.0,0.0,404.0,99.0,287.0,23.0,1411.0,0.0,0.0,0.0
Bongo,Korean Plant,23-04,0.0,0.0,0.0,0.0,79.0,607.0,1305.0,185.0,338.0,0.0,0.0,0.0
Bus,Korean Plant,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-04,0.0,0.0,0.0,7534.0,353.0,0.0,25.0,93.0,15.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-04,0.0,0.0,0.0,3743.0,155.0,4.0,0.0,46.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-04,0.0,0.0,0.0,13539.0,726.0,431.0,1883.0,700.0,0.0,0.0,0.0,0.0
Rio,Mexico Plant,23-04,2792.0,340.0,4004.0,0.0,0.0,756.0,76.0,77.0,3.0,0.0,0.0,0.0
K3,Mexico Plant,23-04,11182.0,801.0,774.0,0.0,0.0,117.0,0.0,0.0,2.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-04,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-04,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-04,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-04,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,US Plant,23-04,5035.0,83.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-04,6689.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-04,4547.0,279.0,279.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-04,8555.0,500.0,0.0,0.0,0.0,4.0,125.0,0.0,4.0,0.0,0.0,0.0
Pegas,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,2699.0,1706.0,104.0,214.0,0.0,222.0,0.0
K3,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0
K3,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0
K5,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,0.0
KX1,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,710.0,0.0
KX3,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,0.0
Zhipao,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,0.0
Sportage,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,0.0
KX7,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
Sonet,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,China Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,India Plants,23-04,0.0,0.0,0.0,0.0,0.0,622.0,661.0,397.0,179.0,8792.0,0.0,0.0
Seltos,India Plants,23-04,0.0,0.0,1518.0,0.0,0.0,1064.0,825.0,517.0,183.0,6318.0,0.0,0.0
Carens,India Plants,23-04,0.0,0.0,0.0,0.0,0.0,243.0,207.0,49.0,75.0,5949.0,0.0,0.0
Carnival,India Plants,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0
Morning,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,51.0,0.0,0.0,0.0
Pegas,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
K3,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0
K5,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0
K8,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,341.0,0.0,0.0,0.0
Stonic,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0
Seltos,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0
Niro,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV6,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,300.0,0.0,190.0,0.0,171.0,0.0,0.0,0.0
Sorento,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,67.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0
Carnival,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0
Bongo,CKD (excl. Russia),23-04,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,693.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-04,0.0,0.0,0.0,0.0,51.0,44.0,0.0,4.0,3.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-04,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,Special Vehicle,23-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
Morning,Korean Plant,23-05,0.0,0.0,0.0,7607.0,605.0,2187.0,1064.0,1050.0,770.0,0.0,0.0,0.0
Rio,Korean Plant,23-05,0.0,0.0,0.0,2851.0,258.0,63.0,471.0,444.0,591.0,0.0,0.0,0.0
K3,Korean Plant,23-05,0.0,20.0,110.0,0.0,266.0,6.0,862.0,7.0,580.0,0.0,0.0,0.0
K5,Korean Plant,23-05,0.0,0.0,0.0,0.0,478.0,12.0,755.0,3.0,0.0,0.0,0.0,0.0
Stinger,Korean Plant,23-05,903.0,98.0,3.0,130.0,48.0,0.0,14.0,0.0,341.0,0.0,0.0,0.0
K8,Korean Plant,23-05,0.0,0.0,0.0,0.0,5.0,0.0,138.0,0.0,5.0,0.0,0.0,0.0
K9,Korean Plant,23-05,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-05,0.0,0.0,0.0,5723.0,817.0,329.0,399.0,132.0,976.0,0.0,0.0,0.0
Seltos,Korean Plant,23-05,7449.0,1477.0,0.0,0.0,338.0,436.0,235.0,0.0,1173.0,0.0,0.0,0.0
Soul,Korean Plant,23-05,5971.0,118.0,176.0,0.0,86.0,116.0,9.0,0.0,10.0,0.0,0.0,0.0
Soul,Korean Plant,23-05,0.0,37.0,0.0,122.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Niro,Korean Plant,23-05,2402.0,132.0,172.0,2752.0,7.0,52.0,156.0,20.0,149.0,0.0,0.0,0.0
Niro,Korean Plant,23-05,932.0,314.0,0.0,2655.0,34.0,5.0,27.0,11.0,127.0,0.0,0.0,0.0
Niro,Korean Plant,23-05,0.0,0.0,0.0,0.0,0.0,0.0,629.0,10.0,53.0,0.0,0.0,0.0
Niro,Korean Plant,23-05,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,0.0,0.0,0.0
EV6,Korean Plant,23-05,2237.0,183.0,0.0,2865.0,20.0,16.0,68.0,20.0,316.0,48.0,0.0,0.0
EV9,Korean Plant,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-05,5208.0,1792.0,851.0,0.0,1067.0,875.0,0.0,0.0,1472.0,0.0,0.0,0.0
Sorento,Korean Plant,23-05,2545.0,109.0,0.0,1092.0,1004.0,262.0,1443.0,92.0,902.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-05,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-05,3231.0,656.0,0.0,0.0,210.0,150.0,255.0,45.0,1622.0,0.0,0.0,0.0
Bongo,Korean Plant,23-05,0.0,0.0,0.0,0.0,147.0,820.0,828.0,274.0,349.0,0.0,0.0,0.0
Bus,Korean Plant,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-05,0.0,0.0,0.0,7966.0,266.0,1.0,71.0,29.0,40.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-05,0.0,0.0,0.0,3905.0,125.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-05,0.0,0.0,0.0,13850.0,523.0,488.0,1908.0,928.0,0.0,0.0,0.0,0.0
Rio,Mexico Plant,23-05,2216.0,496.0,4176.0,0.0,0.0,903.0,257.0,98.0,4.0,0.0,0.0,0.0
K3,Mexico Plant,23-05,10023.0,922.0,870.0,0.0,0.0,118.0,0.0,0.0,4.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-05,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-05,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-05,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-05,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,US Plant,23-05,5502.0,88.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-05,7654.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-05,5219.0,378.0,168.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-05,10005.0,473.0,0.0,0.0,0.0,1.0,142.0,0.0,4.0,0.0,0.0,0.0
Pegas,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,1883.0,1329.0,79.0,144.0,0.0,103.0,0.0
K3,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2361.0,0.0
K3,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0
K5,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0
KX1,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,773.0,0.0
KX3,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,0.0
Zhipao,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0,0.0
Sportage,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,0.0
KX7,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0
Sonet,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,China Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,India Plants,23-05,0.0,0.0,0.0,0.0,0.0,853.0,532.0,279.0,191.0,6734.0,0.0,0.0
Seltos,India Plants,23-05,0.0,0.0,1277.0,0.0,0.0,1019.0,625.0,659.0,130.0,4251.0,0.0,0.0
Carens,India Plants,23-05,0.0,0.0,0.0,0.0,2.0,279.0,255.0,58.0,56.0,5805.0,0.0,0.0
Carnival,India Plants,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Morning,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,208.0,0.0,0.0,0.0
Pegas,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
K3,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
K5,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
K8,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonet,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,300.0,0.0,0.0,0.0
Stonic,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0
Seltos,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0,0.0,0.0
Niro,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV6,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,580.0,0.0,402.0,0.0,96.0,0.0,0.0,0.0
Sorento,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,78.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carens,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0
Carnival,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0
Bongo,CKD (excl. Russia),23-05,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,329.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-05,0.0,0.0,0.0,0.0,107.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0
Bongo,Special Vehicle,23-05,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Millitary,Special Vehicle,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,Special Vehicle,23-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
Morning,Korean Plant,23-06,0.0,0.0,0.0,7453.0,396.0,2057.0,715.0,856.0,793.0,0.0,0.0,0.0
Rio,Korean Plant,23-06,0.0,0.0,0.0,3566.0,238.0,82.0,104.0,667.0,587.0,0.0,0.0,0.0
K3,Korean Plant,23-06,0.0,37.0,70.0,0.0,152.0,8.0,892.0,63.0,689.0,0.0,0.0,0.0
K5,Korean Plant,23-06,0.0,0.0,0.0,0.0,705.0,13.0,1228.0,2.0,7.0,0.0,0.0,0.0
Stinger,Korean Plant,23-06,642.0,80.0,3.0,130.0,32.0,0.0,10.0,0.0,333.0,0.0,0.0,0.0
K8,Korean Plant,23-06,0.0,0.0,0.0,0.0,40.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0
K9,Korean Plant,23-06,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,Korean Plant,23-06,0.0,0.0,0.0,5818.0,829.0,245.0,518.0,201.0,1332.0,0.0,0.0,0.0
Seltos,Korean Plant,23-06,5652.0,1365.0,0.0,0.0,586.0,754.0,227.0,0.0,1732.0,0.0,0.0,0.0
Soul,Korean Plant,23-06,5202.0,191.0,198.0,0.0,109.0,179.0,5.0,0.0,6.0,0.0,0.0,0.0
Soul,Korean Plant,23-06,0.0,61.0,0.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Niro,Korean Plant,23-06,2073.0,103.0,190.0,2579.0,4.0,51.0,190.0,75.0,481.0,0.0,0.0,0.0
Niro,Korean Plant,23-06,1092.0,479.0,0.0,3646.0,30.0,22.0,23.0,3.0,170.0,0.0,0.0,0.0
Niro,Korean Plant,23-06,0.0,0.0,0.0,0.0,0.0,0.0,784.0,6.0,16.0,0.0,0.0,0.0
Niro,Korean Plant,23-06,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0
EV6,Korean Plant,23-06,1458.0,273.0,0.0,3865.0,20.0,11.0,35.0,30.0,345.0,46.0,0.0,0.0
EV9,Korean Plant,23-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,Korean Plant,23-06,5856.0,1970.0,850.0,0.0,720.0,728.0,0.0,0.0,2004.0,0.0,0.0,0.0
Sorento,Korean Plant,23-06,2347.0,52.0,0.0,1561.0,728.0,183.0,1172.0,147.0,983.0,0.0,0.0,0.0
Mohave / Borrego,Korean Plant,23-06,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,Korean Plant,23-06,4431.0,523.0,0.0,0.0,109.0,103.0,257.0,64.0,1766.0,0.0,0.0,0.0
Bongo,Korean Plant,23-06,0.0,0.0,0.0,0.0,152.0,968.0,1211.0,160.0,243.0,0.0,0.0,0.0
Bus,Korean Plant,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceed,Slovakia Plant,23-06,0.0,0.0,0.0,8069.0,300.0,0.0,38.0,19.0,11.0,0.0,0.0,0.0
Ceed CUV,Slovakia Plant,23-06,0.0,0.0,0.0,3503.0,136.0,12.0,0.0,210.0,0.0,0.0,0.0,0.0
Sportage,Slovakia Plant,23-06,0.0,0.0,0.0,14266.0,889.0,378.0,2132.0,513.0,0.0,0.0,0.0,0.0
Rio,Mexico Plant,23-06,2180.0,390.0,3967.0,0.0,0.0,755.0,90.0,12.0,0.0,0.0,0.0,0.0
K3,Mexico Plant,23-06,10330.0,1045.0,979.0,0.0,0.0,101.0,0.0,0.0,1.0,0.0,0.0,0.0
Rio,Russia Plant(incl. CKD Sales),23-06,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3 (CKD),Russia Plant(incl. CKD Sales),23-06,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,Russia Plant(incl. CKD Sales),23-06,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seltos,Russia Plant(incl. CKD Sales),23-06,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,Russia Plant(incl. CKD Sales),23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K5,US Plant,23-06,6072.0,95.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Sportage,US Plant,23-06,8061.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Sorento,US Plant,23-06,5565.0,554.0,146.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Telluride,US Plant,23-06,9534.0,575.0,0.0,0.0,0.0,8.0,170.0,0.0,3.0,0.0,0.0,0.0
Pegas,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,2056.0,1517.0,175.0,96.0,0.0,209.0,0.0
K3,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2530.0,0.0
K3,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0
K5,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0
KX1,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,741.0,0.0
KX3,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0,0.0
Zhipao,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,0.0
Sportage,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,0.0
KX7,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnival,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0
Sonet,China Plants,23-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
